text,label,label_id,source
Youve done more for us through your music then we can even begin to explain...,positive,2,facebook
You're a genius. I'm laughing like hell,positive,2,facebook
Your skill in explaining how the future is unpredictable and vaccines may have been coincidence is appreciated by this mom.,positive,2,facebook
You saved my heart from darth Vader ,positive,2,facebook
"You know the saying 'beauty comes from within', well this is the antonym of that!",negative,0,facebook
You could see his brain smoothing out in real time.,negative,0,facebook
Wow…if I could still get in and out of the bathtub…I would get me one of those!! Dang,positive,2,facebook
Wow nice.... Idol ELON Musk ,positive,2,facebook
Wishing you all the best ,positive,2,facebook
Wishing them all a happy Easter and sending prayers that they find homes ,positive,2,facebook
Will everything still close at 4pm?,neutral,1,facebook
Why’d you have to bring it up ,negative,0,facebook
Why am I crying while watching this?,positive,2,facebook
Where is this? Looks like Sydney?,neutral,1,facebook
"When the chief rat is forcing the small rats to leave the ship, you really know the ship is sinking.",negative,0,facebook
"When a clown moves into a palace, he doesn't become a king. The palace turns into a circus",negative,0,facebook
What method was used to capture such data and if its not hearsay,negative,0,facebook
What an incredible achievement! ,positive,2,facebook
What a disgusting couple ...,negative,0,facebook
Went there today.,neutral,1,facebook
"Well done, Miss Swift. Well done. ",positive,2,facebook
Weird Science + Happy Gilmore + Napoleon Dynamite + early 90’s meets Taylor Swift Glitter Gel Pen Era. It’s hilarious,positive,2,facebook
We recently received training how to use AI for better writing. ,neutral,1,facebook
We do know that water levels have been significantly dropping.,neutral,1,facebook
We are all humans...and every human has two sides.,neutral,1,facebook
"Watching the last show through grainy livestream on my phone at the Vancouver airport, going back home after being there at N1... truly unforgettable ",positive,2,facebook
"Waste of olive oil ,effort and money buying it in the first place",negative,0,facebook
Use bicycles good for your health too,neutral,1,facebook
To save from confrontation like this book your seats appropriately so your family sit together and you have no confrontation,neutral,1,facebook
"Three rules my surfing family live by - don’t go out at dusk, dawn or after it’s been raining.",neutral,1,facebook
This was her return visit she had been giving tx for cellulitis it ends up being necrotizing fasciitus,negative,0,facebook
This video was taken on the day of a public transport strike.,neutral,1,facebook
"This video is so FUN! I’m obsessed. 10/10. Funny, whimsical, and all too relatable. Ladies and gentleman she’s done it again!!",positive,2,facebook
This movie made me decide what kind of a parent I wanna be,neutral,1,facebook
"This is what we all needed, especially since we were all clowning for another Stranger Things episode…we got the vibes.",positive,2,facebook
This is what Chatgpt is showing at the moment from ranking context. ,neutral,1,facebook
This is so amazing. She really thought of everything. Us fans are loving it!,positive,2,facebook
"This is literally the funniest thing I have ever watched, and I loved every minute of it!!!",positive,2,facebook
This is literally the funniest skit I’ve seen in ages and I love it when it keeps popping up on my feed over time,positive,2,facebook
"They have started with fake news, doesn’t the country have it own media ?",negative,0,facebook
They found the meaning of life,positive,2,facebook
There were 3 quarries with different levels of hardness of sandstone. ,neutral,1,facebook
There must of been a fire in the planes laundry room.,negative,0,facebook
Then go and buy a coffee and a sandwich and take the train where you are staying. ,neutral,1,facebook
The very first CD I ever owned was Debut. I was 12 when my dad bought it for me. I now buy your CDs for my own daughters to listen to in their room.,positive,2,facebook
The real story isn’t the gaffes. It’s who’s steering the ship. ,negative,0,facebook
The passion in everything and the love Taylor has always brings me to tears. ,positive,2,facebook
The moment your free therapist thanks YOU!!,positive,2,facebook
The men in the comment section have divorces coming out of nowhere.,negative,0,facebook
The fire is out but now you have dangerous gas coming out looking for an ignition source then BOOOOM,negative,0,facebook
The egg is on her face now,negative,0,facebook
The design looks good but it’s still slow,neutral,1,facebook
The badass doctor we all love.,positive,2,facebook
"Thats why farmers don't want fracking on their properties fir fossil fuel, gas.",neutral,1,facebook
That’s one way to do it,neutral,1,facebook
That’s like saying “man my kid will eat a ice cream in 5 seconds an want more but take 2 hours to eat some chicken and vegetables “ xD,neutral,1,facebook
That worked better than I thought,positive,2,facebook
That was definitely my favorite part  had me cackling so loud I woke up my husband,positive,2,facebook
That avenue still exists across Victoria Park to the restored gates on city road corner,neutral,1,facebook
That “Nooooo!” Was glorious ,positive,2,facebook
"Step one is, don’t bring it into the house!!!!",negative,0,facebook
sooooo are we having a girls night?! lol,positive,2,facebook
"Some people will like this, others probably won’t",neutral,1,facebook
Some people are terrifyingly deluded,negative,0,facebook
So excited! I cried through the grainy livestream in the early morning hours of the last show and I’m crying again already!! Can’t wait….. ,positive,2,facebook
shittt i'm crying cause of this movie,positive,2,facebook
she's seen the movie "Taken",neutral,1,facebook
she’s creating strong bonds. she knows now her sister will save her,positive,2,facebook
She played so shamelessly so faithfully by continously lying for Trump and still got sacked. ,negative,0,facebook
She didn’t have to yell at the boy!,negative,0,facebook
She could throw this tour again and it would still sell out every single show ,positive,2,facebook
See the size of Australia I think walking is out of the question to get to some jobs,neutral,1,facebook
Same story always when trying to frame someone or nation,negative,0,facebook
Ruined that chopping board…,negative,0,facebook
Our king comedian how are you doing sir …,negative,0,facebook
Other than the acoustic set and the TTPD is the rest of the show the same as the original?,neutral,1,facebook
On the way to new Sydney Fish Market for a lobster roll,neutral,1,facebook
OMG this is awesome ,positive,2,facebook
OMG - the hair....why didn't they sort it before filming?,negative,0,facebook
Okay but hearing that final piano mashup in a high quality sound will absolutely have me in tears,positive,2,facebook
Ok I’m crying so bad I can hardly see to type. Loved this,positive,2,facebook
Ohhhh I’m so excited to see my favorite album performed live! Omg!!!!! I literally manifested they would add it!,positive,2,facebook
Of course the eldest daughter is parentified- given all the chores.,negative,0,facebook
Now the whole house will stink!,negative,0,facebook
Not the men in the comments proving your point ,negative,0,facebook
Not sure whether the issue of using AI is the problem here. ,neutral,1,facebook
NOOOOO!!! YOU’RE DEMENTED ,negative,0,facebook
Nobodys perfect and it's true that every country has its own set of complexities and challenges,neutral,1,facebook
No. That is building is still standing and part of Sydney University today.,neutral,1,facebook
No more cheated on me! Finished attacked me now!,negative,0,facebook
"Nice idea, just not executed well",neutral,1,facebook
Never swim after big rain events..,neutral,1,facebook
My Granny lost a baby at 11 days old. ,neutral,1,facebook
My favorite part of this is how many people said Cillian was bored of Taylor during their appearance on Graham Norton only for him to pop up in this MV ,positive,2,facebook
My Father said “I want you to do better than me but you’ll never make it. ,negative,0,facebook
My dad almost lost his leg to a serious infection. ,neutral,1,facebook
My biggest flex will always be having that final piano mashup on my phone because I recorded it in Vancouver,positive,2,facebook
might as well throw some frozen mango chunks too\,neutral,1,facebook
"Men still won't find it, they never read a map nor ask for directions！",negative,0,facebook
Made me cry to see such a wonderful gift for this precious girl,positive,2,facebook
Love the way you communicate with her.,positive,2,facebook
Love how this keeps getting worse every update,negative,0,facebook
"Look at her horrible face, hateful",negative,0,facebook
"Long story short, my son was in hospital and MY boss demanded I come to work and it was impossible because he was in really bad shape and I chose my son over my job. ",negative,0,facebook
Listening to Opalite is like mainlining Serotonin. It makes you instantly feel good.,positive,2,facebook
Lie!,negative,0,facebook
"Knife, chopping board and bench are all f*cked now",negative,0,facebook
Just keep out of any water that is likely to contain sharks.,neutral,1,facebook
Johnny caveman went from being a free man to a corporate slave.,negative,0,facebook
Its like that drama. He's got ghosts helping him out.,positive,2,facebook
it's amazing to see his passion and dedication to making a difference.,positive,2,facebook
It’s so cute. The dance scene was very romy and Michelle’s class reunion/ napoleon dynamite lol we need that tracksuit. I spotted an Austin cameo too.,positive,2,facebook
It’s hilarious I LOVE LOVE LOVE it!!!,positive,2,facebook
"It’s an improvement, just not a big one",neutral,1,facebook
It’s always the same excuse every time,negative,0,facebook
It will NEVER BE THE END OF ERA we will forever be in this ERA cause we can’t let it go its imbedded in us long live the memories we made ,positive,2,facebook
"It was the end of an era, but the start of an age... ",neutral,1,facebook
It was here before settlement,neutral,1,facebook
It was a sad day the day I put away the princess dresses.,negative,0,facebook
It seems that Donald Sir is now doing Mr. Bean's job.,negative,0,facebook
It differs from person to person,neutral,1,facebook
În second year onion give only a flower and you can make seeds for next year.,neutral,1,facebook
"I'm not sure, but I suspect that this photo was in a large album of photographs my father donated to the library.",neutral,1,facebook
Ice cream sales go up in the summer as well as shark attacks,neutral,1,facebook
I’m still getting used to how this works,neutral,1,facebook
I’m speechless… simply can not wait,positive,2,facebook
I’m done talking about this right now.,negative,0,facebook
"I, too, learned this as a child.",neutral,1,facebook
I wish in 2006 I had big girl money and not high school broke girl vibes haha ,positive,2,facebook
I want to throw a watch party but I need people to invite ,neutral,1,facebook
I waited 50 minutes and they just closed the counter,negative,0,facebook
I tried and tried to get tickets to see this tour. I'm still so sad and disappointed that I couldn't experience it live. ,negative,0,facebook
I thought the war was "having a break"? ,negative,0,facebook
I thought his mouth was going to  burst into flames!,negative,0,facebook
I think the wrong person has been asked to stand down...,negative,0,facebook
I think the bigger trick was that he didn't over do the improvisation,positive,2,facebook
I think she should talk with the promise of pardon from the next administration. Or simply just do the right thing.,negative,0,facebook
I reside here for almost 4 decades already.,neutral,1,facebook
I often wonder whether future genetic testing will be able to predict which patients may have adverse reactions to vaccines.,neutral,1,facebook
I needed this so bad right now ,positive,2,facebook
I need a part 2.Like I need to know if she told the neighbor what happened lol,positive,2,facebook
I love when Simon takes his glasses off like that ,positive,2,facebook
I love how her mind works! It’s like how mine pops off at 2 am with crazy ideas questions etc..,positive,2,facebook
I feel so ashamed to belong to the same generation.,negative,0,facebook
I do maybe like 2-3k steps simply running my home.,neutral,1,facebook
I disagree with all but number 3.,neutral,1,facebook
I didn’t expect much but this turned out really nice,positive,2,facebook
"I did,pineaple and banana,i put honey,coconut milk,is delish! ",positive,2,facebook
I did my final nursing and midwifery exams in the Great Hall here early 60s,neutral,1,facebook
I cannot wait! My daughter is graduating with her Bachelor’s on 12/12 and we’re looking forward to this after her final stressful semester! ,positive,2,facebook
I can’t wait to see the docu-series and to watch the final show again with all of the beautiful footage!,positive,2,facebook
I can see both sides of this argument,neutral,1,facebook
I agree with some points but not all,neutral,1,facebook
I agree with some of this but not everything,neutral,1,facebook
"How many people killed in Burkinafaso 3 years before traore, when American troops were in the country. ",negative,0,facebook
How did they build this building plus all the other sandstone buildings with such a small population ?,neutral,1,facebook
Hollywood directors must be reading this news for a new film idea,negative,0,facebook
Here we come foot fungus!,negative,0,facebook
Her reaction is priceless.,positive,2,facebook
He was my hero in that scene.,positive,2,facebook
He showed up late again and acted like nothing happened,negative,0,facebook
He even play with the Mic stand like its part of the show. Thats a Master class. ,positive,2,facebook
"Great, now it’s broken in a different way",negative,0,facebook
Grandpa is getting goofy again.,negative,0,facebook
Funny how it only works when someone important complains,negative,0,facebook
French toast just done differently.,neutral,1,facebook
Find out how much Underground and bus fares are,neutral,1,facebook
"Favorite detail of Final Concert, getting to see the marching TTPD white jacket detail up close and personal! ",positive,2,facebook
Experiencing this right now.,neutral,1,facebook
Everyone will have a different response to any vaccine.,neutral,1,facebook
Everyone hasn’t always been there for me but your music always has.,positive,2,facebook
Even the clip got me crying ,positive,2,facebook
"Edmund Blackett was the architect, by the way.",neutral,1,facebook
D'you think "they" will get it? Thought not ... ,negative,0,facebook
Don't buy clothes that need ironing,neutral,1,facebook
Do you ever think you feel what other people may feel?,negative,0,facebook
Did I watch every live stream after my show,neutral,1,facebook
Can't wait to sail the seven seas on this one...,positive,2,facebook
Can’t wait to cruise in my brother’s vintage Jeep Wagoner blaring “Opalite” on cassette on the Iowa country roads!!!!!!,positive,2,facebook
Bro can’t even comb his hair for a date. ,negative,0,facebook
Birds of a feather flock together and that’s why I don’t keep messy friends.,negative,0,facebook
"Better start early, and forget sleeping",negative,0,facebook
Best way to avoid getting bitten is not swimming with them! Duh..,neutral,1,facebook
Best shit ever! Y'all are freaks,negative,0,facebook
"As I grow older, I'm finding that fewer things bring me childlike joy, but opening a CD or vinyl and reading the liner notes still feels like a treasured experience",positive,2,facebook
"As a teacher of teenagers, I endorse your message 1000%",positive,2,facebook
Any minute ... Any time ... IT COULD BE HAPPENING RIGHT NOW... Get ready ... But it's not...wait for it ... But .. But... But Right This very second.... Be ready for it and don't loose that idea!,neutral,1,facebook
An attempt to show how the University of Sydney might have looked in natural colours.,neutral,1,facebook
Amazing spot,positive,2,facebook
Always wished I won the war but I didnt for the Eras tours..,negative,0,facebook
Almost got a heart attack when you kinda tripped on the stairs!!,neutral,1,facebook
All the people who say she was " asking for it" should look at the " What was she wearing?" exhibit,negative,0,facebook
Add some coconut and mango for a tropical treat.,neutral,1,facebook
11 days can’t come soon enough!!! I’m ready for it!,positive,2,facebook
10k is easy to do if you can find some time in the morning to do a walk.,neutral,1,facebook
"""You're really old, but you're really good at it."" ",positive,2,facebook
"""This actually made my day a bit easier""",positive,2,facebook
"""It was a giant misunderstanding"" was diabolical ",negative,0,facebook
"""I'm against it, unless I'm doing it.""",negative,0,facebook
 this is totally a sign of desperation and loss of influence!,negative,0,facebook
